"=""Burden Id""","=""Type""","=""Country""","=""ISO3""","=""Region""","=""Name""","=""Year""","=""Measure""","=""Metric""","=""Sex""","=""REI Name""","=""Cause Name""","=""Age Group Name""","=""Burden Mean""","=""Burden Mean Rounded""","=""Burden Upper""","=""Burden Lower""","=""Pollutant""","=""Pollutant Name""","=""Region Name""","=""Measure Name""","=""Metric Name"""
1305321,"=""country""","=""Barbados""","=""BRB""","=""country""","=""Barbados""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""11.6""","=""11.6""","=""75.8""","=""-10.9""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1300185,"=""country""","=""Belarus""","=""BLR""","=""country""","=""Belarus""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""23.4""","=""23.4""","=""76.4""","=""-21.5""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1300209,"=""country""","=""Belarus""","=""BLR""","=""country""","=""Belarus""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""14.6""","=""14.6""","=""49.4""","=""-12.9""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1300233,"=""country""","=""Belarus""","=""BLR""","=""country""","=""Belarus""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""11""","=""11""","=""40.4""","=""-9.4""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1300257,"=""country""","=""Belarus""","=""BLR""","=""country""","=""Belarus""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""14.9""","=""14.9""","=""53.1""","=""-13.1""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1303529,"=""country""","=""Belgium""","=""BEL""","=""country""","=""Belgium""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""33.1""","=""33.1""","=""98.9""","=""-39.5""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1303562,"=""country""","=""Belgium""","=""BEL""","=""country""","=""Belgium""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""18.5""","=""18.5""","=""60.1""","=""-18.4""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1303595,"=""country""","=""Belgium""","=""BEL""","=""country""","=""Belgium""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""17.1""","=""17.1""","=""58.7""","=""-16.3""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1303628,"=""country""","=""Belgium""","=""BEL""","=""country""","=""Belgium""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""8""","=""8""","=""35.2""","=""-7.85""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1306809,"=""country""","=""Belize""","=""BLZ""","=""country""","=""Belize""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""1.99""","=""1.99""","=""18""","=""-1.7""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1306833,"=""country""","=""Belize""","=""BLZ""","=""country""","=""Belize""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""1.56""","=""1.56""","=""14.3""","=""-1.27""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1306857,"=""country""","=""Belize""","=""BLZ""","=""country""","=""Belize""","=""2010""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""2.92""","=""2.92""","=""20.8""","=""-2.2""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1306881,"=""country""","=""Belize""","=""BLZ""","=""country""","=""Belize""","=""2021""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""1.98""","=""1.98""","=""14.5""","=""-1.51""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1314420,"=""country""","=""Benin""","=""BEN""","=""country""","=""Benin""","=""1990""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""3.44""","=""3.44""","=""16""","=""-2.66""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
1314447,"=""country""","=""Benin""","=""BEN""","=""country""","=""Benin""","=""2000""","=""daly""","=""rate""","=""Both""","=""Nitrogen dioxide pollution""","=""Asthma""","=""<5 years""","=""2.02""","=""2.02""","=""10.8""","=""-1.45""","=""no2""","=""NO<sub>2</sub>""","=""Country""","=""DALY""","=""Rate"""
